City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Iguape,BR,-24.7081,-47.5553,65.93,97,100,6.87,moderate rain
305,Lavrentiya,RU,65.5833,-171.0,50.85,56,81,11.3,broken clouds
306,Maamba,ZM,-17.3667,27.15,63.48,30,0,4.16,clear sky
307,Port-Gentil,GA,-0.7193,8.7815,76.96,83,75,11.5,broken clouds
308,Salalah,OM,17.0151,54.0924,77.09,94,100,2.3,light intensity drizzle
309,Qasigiannguit,GL,68.8193,-51.1922,39.45,92,100,5.55,overcast clouds
310,Bara,NG,10.3744,10.7288,76.1,80,27,5.61,scattered clouds
311,Gornyy,RU,55.1153,83.9059,54.36,92,0,6.67,clear sky
312,Maniitsoq,GL,65.4167,-52.9,40.19,93,100,3.44,overcast clouds
313,Gat,IL,31.61,34.7642,79.48,100,0,3.22,clear sky
314,Puerto Escondido,MX,15.85,-97.0667,86.83,62,75,3.44,broken clouds
315,Port Hawkesbury,CA,45.6169,-61.3485,65.91,97,100,7.0,mist
316,Soyo,AO,-6.1349,12.3689,69.19,93,1,9.64,clear sky
317,Airai,TL,-8.9266,125.4092,61.47,70,7,3.09,clear sky
318,Codrington,AU,-38.2667,141.9667,45.43,74,100,8.57,overcast clouds
319,Kondinskoye,RU,59.6481,67.41,62.19,87,78,5.06,broken clouds
320,La Libertad,EC,-2.2333,-80.9,71.26,83,100,11.5,overcast clouds
321,Yulara,AU,-25.2406,130.9889,56.43,82,100,10.29,overcast clouds
322,Gillette,US,44.2911,-105.5022,95.11,16,0,9.22,clear sky
323,Daru,PG,-9.0763,143.2092,77.25,84,73,19.66,broken clouds
324,Baykit,RU,61.67,96.37,57.18,92,55,2.3,broken clouds
325,Kolondieba,ML,11.0882,-6.8926,71.78,96,100,3.83,moderate rain
326,Maibong,IN,25.3,93.1667,72.95,98,100,3.29,overcast clouds
327,Dingle,PH,10.9995,122.6711,76.41,91,86,0.67,overcast clouds
328,Enderby,GB,52.5878,-1.2062,69.37,61,43,8.14,scattered clouds
329,Bilma,NE,18.6853,12.9164,94.48,29,15,10.22,few clouds
330,Johnson City,US,36.3134,-82.3535,81.82,67,20,4.61,mist
331,Nalut,LY,30.3333,10.85,81.82,42,0,20.27,clear sky
332,Ekhabi,RU,53.5102,142.9671,63.99,75,25,6.85,scattered clouds
333,Waipawa,NZ,-41.4122,175.5153,42.98,67,94,10.42,overcast clouds
334,Ancud,CL,-41.8697,-73.8203,46.22,83,100,3.15,overcast clouds
335,Liverpool,GB,53.4106,-2.9779,64.62,77,0,4.61,clear sky
336,Gondar,ET,12.6,37.4667,55.89,93,100,2.04,overcast clouds
337,Victoria Point,AU,-27.5833,153.3,63.95,69,8,5.01,clear sky
338,Ous,RU,60.9058,61.5186,59.77,71,99,3.58,overcast clouds
339,Cap Malheureux,MU,-19.9842,57.6142,65.46,72,51,3.0,broken clouds
340,Port Pirie,AU,-33.1833,138.0167,59.09,76,100,15.19,light rain
341,Loukhi,RU,66.0764,33.0381,53.49,76,90,5.7,overcast clouds
342,Montana,BG,43.4125,23.225,72.84,43,45,4.97,scattered clouds
343,Skibbereen,IE,51.55,-9.2667,58.1,78,0,4.12,clear sky
344,Severnoye,RU,56.3491,78.3619,55.49,88,86,6.33,overcast clouds
345,Pingliang,CN,35.5392,106.6861,72.37,88,93,5.39,overcast clouds
